  iter |       grad |      value |  vector
   339 |  4.812e+00 |  2.519e+04 |  [     11.511       3.711     -35.519      27.054      22.982     -31.482       8.039     -55.175     -54.461     -43.430     -28.361      35.926     -14.551     -27.908     -51.186     -47.222      -0.332     -67.944     -29.738     -42.802     -35.072     -40.328       8.806     -11.640      17.997     -23.089     -30.096     -38.140     -69.652     -24.889]
   340 |  4.448e+00 |  2.518e+04 |  [     11.453       3.708     -35.578      26.931      22.909     -31.644       7.995     -55.191     -54.559     -43.380     -28.460      35.872     -14.703     -27.972     -51.648     -47.297      -0.342     -67.914     -29.841     -42.947     -34.906     -40.384       9.052     -11.380      18.170     -22.961     -30.557     -38.050     -69.646     -24.515]
   341 |  4.097e+00 |  2.518e+04 |  [     11.398       3.705     -35.633      26.815      22.840     -31.796       7.953     -55.207     -54.651     -43.333     -28.554      35.816     -14.844     -28.033     -52.094     -47.369      -0.351     -67.886     -29.938     -43.084     -34.747     -40.438       9.288     -11.131      18.335     -22.838     -30.997     -37.963     -69.641     -24.149]
   342 |  3.759e+00 |  2.518e+04 |  [     11.345       3.702     -35.686      26.705      22.774     -31.938       7.912     -55.221     -54.738     -43.288     -28.641      35.760     -14.977     -28.091     -52.522     -47.438      -0.360     -67.859     -30.031     -43.215     -34.595     -40.489       9.513     -10.893      18.493     -22.721     -31.418     -37.879     -69.637     -23.793]
   343 |  3.434e+00 |  2.517e+04 |  [     11.295       3.699     -35.735      26.602      22.711     -32.071       7.874     -55.235     -54.819     -43.245     -28.723      35.704     -15.100     -28.145     -52.933     -47.504      -0.369     -67.833     -30.118     -43.338     -34.449     -40.537       9.728     -10.665      18.643     -22.609     -31.818     -37.799     -69.632     -23.448]
   344 |  3.122e+00 |  2.517e+04 |  [     11.248       3.696     -35.782      26.505      22.652     -32.194       7.838     -55.248     -54.895     -43.204     -28.799      35.648     -15.215     -28.197     -53.326     -47.566      -0.377     -67.809     -30.201     -43.455     -34.310     -40.584       9.934     -10.447      18.786     -22.502     -32.196     -37.722     -69.628     -23.113]
   345 |  2.825e+00 |  2.517e+04 |  [     11.204       3.694     -35.826      26.413      22.596     -32.310       7.804     -55.260     -54.966     -43.166     -28.871      35.593     -15.323     -28.245     -53.700     -47.625      -0.385     -67.787     -30.279     -43.566     -34.177     -40.627      10.129     -10.241      18.921     -22.401     -32.553     -37.649     -69.625     -22.791]
   346 |  2.541e+00 |  2.517e+04 |  [     11.162       3.691     -35.866      26.327      22.543     -32.417       7.772     -55.271     -55.033     -43.130     -28.938      35.539     -15.422     -28.290     -54.056     -47.681      -0.392     -67.766     -30.352     -43.670     -34.051     -40.669      10.315     -10.044      19.050     -22.305     -32.889     -37.578     -69.622     -22.480]
   347 |  2.271e+00 |  2.517e+04 |  [     11.122       3.689     -35.904      26.246      22.494     -32.517       7.742     -55.282     -55.096     -43.096     -29.001      35.486     -15.515     -28.332     -54.394     -47.734      -0.399     -67.746     -30.421     -43.769     -33.931     -40.708      10.491      -9.858      19.171     -22.214     -33.204     -37.512     -69.619     -22.182]
   348 |  2.016e+00 |  2.516e+04 |  [     11.086       3.687     -35.940      26.171      22.447     -32.610       7.714     -55.292     -55.154     -43.064     -29.060      35.436     -15.600     -28.371     -54.712     -47.783      -0.406     -67.728     -30.485     -43.861     -33.818     -40.745      10.656      -9.682      19.286     -22.128     -33.497     -37.448     -69.617     -21.898]
   349 |  1.776e+00 |  2.516e+04 |  [     11.052       3.685     -35.972      26.101      22.404     -32.696       7.688     -55.302     -55.208     -43.035     -29.114      35.388     -15.679     -28.407     -55.011     -47.830      -0.412     -67.711     -30.544     -43.948     -33.712     -40.780      10.812      -9.517      19.393     -22.047     -33.769     -37.388     -69.615     -21.629]
   350 |  1.550e+00 |  2.516e+04 |  [     11.020       3.684     -36.002      26.035      22.364     -32.775       7.664     -55.311     -55.259     -43.007     -29.164      35.343     -15.752     -28.440     -55.291     -47.874      -0.418     -67.695     -30.599     -44.029     -33.612     -40.812      10.958      -9.362      19.493     -21.972     -34.021     -37.332     -69.613     -21.373]
   351 |  1.339e+00 |  2.516e+04 |  [     10.991       3.682     -36.029      25.975      22.327     -32.847       7.642     -55.319     -55.305     -42.982     -29.211      35.300     -15.819     -28.471     -55.551     -47.914      -0.423     -67.681     -30.650     -44.104     -33.519     -40.842      11.094      -9.218      19.587     -21.902     -34.252     -37.279     -69.612     -21.134]
   352 |  1.143e+00 |  2.516e+04 |  [     10.965       3.681     -36.054      25.920      22.293     -32.914       7.622     -55.327     -55.348     -42.958     -29.254      35.260     -15.879     -28.498     -55.792     -47.952      -0.428     -67.668     -30.696     -44.173     -33.432     -40.870      11.220      -9.084      19.673     -21.836     -34.463     -37.230     -69.611     -20.910]
   353 |  9.633e-01 |  2.516e+04 |  [     10.941       3.679     -36.076      25.870      22.262     -32.974       7.603     -55.334     -55.386     -42.937     -29.293      35.223     -15.935     -28.523     -56.013     -47.986      -0.432     -67.656     -30.739     -44.236     -33.353     -40.895      11.336      -8.961      19.752     -21.777     -34.655     -37.185     -69.610     -20.703]
   354 |  7.987e-01 |  2.516e+04 |  [     10.919       3.678     -36.096      25.824      22.234     -33.029       7.587     -55.341     -55.422     -42.918     -29.328      35.189     -15.984     -28.545     -56.215     -48.017      -0.437     -67.646     -30.777     -44.294     -33.280     -40.919      11.442      -8.849      19.824     -21.722     -34.828     -37.143     -69.610     -20.512]
   355 |  6.497e-01 |  2.516e+04 |  [     10.900       3.677     -36.114      25.783      22.209     -33.078       7.572     -55.347     -55.453     -42.900     -29.360      35.159     -16.029     -28.565     -56.396     -48.046      -0.440     -67.636     -30.811     -44.346     -33.214     -40.940      11.538      -8.747      19.890     -21.672     -34.982     -37.105     -69.609     -20.339]
   356 |  5.166e-01 |  2.516e+04 |  [     10.882       3.676     -36.129      25.746      22.186     -33.121       7.559     -55.352     -55.482     -42.885     -29.388      35.132     -16.068     -28.583     -56.559     -48.071      -0.444     -67.628     -30.841     -44.393     -33.155     -40.958      11.623      -8.656      19.948     -21.628     -35.118     -37.071     -69.609     -20.184]
   357 |  3.992e-01 |  2.516e+04 |  [     10.868       3.675     -36.143      25.714      22.167     -33.159       7.548     -55.356     -55.506     -42.871     -29.413      35.108     -16.103     -28.598     -56.701     -48.093      -0.447     -67.621     -30.867     -44.433     -33.103     -40.975      11.699      -8.576      19.999     -21.589     -35.237     -37.042     -69.609     -20.046]
   358 |  2.976e-01 |  2.516e+04 |  [     10.855       3.674     -36.154      25.687      22.150     -33.191       7.538     -55.361     -55.528     -42.860     -29.435      35.088     -16.132     -28.611     -56.824     -48.112      -0.449     -67.615     -30.890     -44.469     -33.058     -40.989      11.764      -8.507      20.043     -21.556     -35.338     -37.016     -69.609     -19.927]
   359 |  2.118e-01 |  2.516e+04 |  [     10.844       3.674     -36.164      25.664      22.136     -33.218       7.530     -55.364     -55.546     -42.850     -29.453      35.070     -16.157     -28.621     -56.928     -48.128      -0.451     -67.610     -30.909     -44.498     -33.020     -41.001      11.819      -8.448      20.081     -21.527     -35.423     -36.994     -69.609     -19.826]
   360 |  1.415e-01 |  2.516e+04 |  [     10.835       3.673     -36.171      25.645      22.124     -33.240       7.524     -55.367     -55.560     -42.842     -29.468      35.056     -16.177     -28.630     -57.013     -48.141      -0.453     -67.605     -30.924     -44.523     -32.988     -41.011      11.864      -8.400      20.111     -21.504     -35.492     -36.976     -69.609     -19.743]
   361 |  8.645e-02 |  2.516e+04 |  [     10.829       3.673     -36.177      25.630      22.115     -33.258       7.519     -55.369     -55.572     -42.836     -29.479      35.045     -16.193     -28.637     -57.080     -48.152      -0.455     -67.602     -30.936     -44.542     -32.964     -41.018      11.899      -8.363      20.135     -21.486     -35.546     -36.961     -69.609     -19.678]
   362 |  4.619e-02 |  2.516e+04 |  [     10.824       3.673     -36.182      25.619      22.109     -33.270       7.515     -55.371     -55.580     -42.831     -29.488      35.037     -16.204     -28.642     -57.128     -48.159      -0.456     -67.600     -30.945     -44.556     -32.946     -41.024      11.925      -8.335      20.152     -21.472     -35.585     -36.951     -69.609     -19.630]
   363 |  1.981e-02 |  2.516e+04 |  [     10.821       3.672     -36.184      25.612      22.105     -33.279       7.513     -55.372     -55.585     -42.828     -29.493      35.032     -16.211     -28.645     -57.160     -48.164      -0.456     -67.598     -30.950     -44.565     -32.934     -41.028      11.942      -8.317      20.164     -21.463     -35.611     -36.944     -69.609     -19.599]
   364 |  5.674e-03 |  2.516e+04 |  [     10.819       3.672     -36.186      25.608      22.102     -33.283       7.511     -55.372     -55.588     -42.827     -29.496      35.029     -16.215     -28.646     -57.177     -48.167      -0.457     -67.598     -30.954     -44.570     -32.928     -41.030      11.951      -8.308      20.170     -21.459     -35.624     -36.941     -69.609     -19.582]
   365 |  7.025e-04 |  2.516e+04 |  [     10.818       3.672     -36.186      25.607      22.102     -33.285       7.511     -55.373     -55.589     -42.826     -29.497      35.028     -16.217     -28.647     -57.183     -48.168      -0.457     -67.597     -30.955     -44.571     -32.926     -41.030      11.954      -8.304      20.172     -21.457     -35.629     -36.939     -69.609     -19.576]
   366 |  1.323e-05 |  2.516e+04 |  [     10.818       3.672     -36.186      25.607      22.101     -33.285       7.511     -55.373     -55.590     -42.826     -29.497      35.028     -16.217     -28.647     -57.184     -48.168      -0.457     -67.597     -30.955     -44.572     -32.925     -41.030      11.954      -8.304      20.172     -21.457     -35.630     -36.939     -69.609     -19.575]
   367 |  2.678e-10 |  2.516e+04 |  [     10.818       3.672     -36.186      25.607      22.101     -33.285       7.511     -55.373     -55.590     -42.826     -29.497      35.028     -16.217     -28.647     -57.184     -48.168      -0.457     -67.597     -30.955     -44.572     -32.925     -41.030      11.954      -8.304      20.172     -21.457     -35.630     -36.939     -69.609     -19.575]
x optimal:  [1.08181667780e+01 3.67231733412e+00 -3.61864949503e+01 2.56069697240e+01 2.21014137837e+01 -3.32847397886e+01 7.51076238770e+00 -5.53725777755e+01 -5.55895644237e+01 -4.28260237797e+01 -2.94971902849e+01 3.50278997496e+01 -1.62169285600e+01 -2.86470139416e+01 -5.71840147062e+01 -4.81680650325e+01 -4.56661574543e-01 -6.75972689751e+01 -3.09547291146e+01 -4.45716207081e+01 -3.29254299505e+01 -4.10304838349e+01 1.19542847047e+01 -8.30382555728e+00 2.01724443433e+01 -2.14568336668e+01 -3.56296331920e+01 -3.69391086740e+01 -6.96090456394e+01 -1.95751527152e+01]
S degree [ 49.15182610 -2.9725121j   47.83329906-19.6575511j   42.67590371-19.0290011j   43.90581814 +7.88854923j  45.22553101 -1.38063017j  66.94332769-23.88185376j  50.43467467 +0.24453399j  71.39990680 -6.60688003j  65.39170342-14.59608774j  78.04210168 +0.55761139j  54.27026759 -1.60490063j  36.43491466 +4.62707477j  68.17554359-20.17473586j  45.10058759-19.5589836j   62.37811554 -4.76843349j]
eigen values of hessian at point x_opt:  [7.05197548830e+03 7.25818894861e+03 2.88483116157e+03 2.20902666767e+03 1.77410908891e+03 2.05151090970e+03 3.41685097810e+02 2.14468299707e+02 1.99637679426e+02 1.91404541003e+02 1.59341070293e+02 8.26831173450e+01 7.17551285627e+01 6.17145036480e+01 4.88872441487e+01 3.22660441188e+01 2.30607708711e+01 1.82845313186e+01 8.43828885576e+00 6.50044970125e+00 5.82269378889e+00 5.42043031122e+00 4.82578737752e+00 3.21592611036e+00 2.46973712064e+00 2.06136537063e+00 4.10606491702e-01 6.49537669189e-01 1.02016054827e+00 1.23116948684e+00]
e_min:  0.410606491702

  368  | 1.679e-11  | 2.516e+04  |     4.80000  |     0.41061  | +0.002000  | [ 10.818   3.672 -36.186  25.607  22.101 -33.285   7.511 -55.373 -55.590 -42.826 -29.497  35.028 -16.217 -28.647 -57.184 -48.168  -0.457 -67.597 -30.955 -44.572 -32.925 -41.030  11.954  -8.304  20.172 -21.457 -35.630 -36.939 -69.609 -19.575]  |
